"subjid","rownum","submission_date","q0","correctA0","q0otherword1","q0otherword2","q1","correctA1","q1otherword1","q1otherword2","q2","correctA2","q2otherword1","q2otherword2","q3","correctA3","q3otherword1","q3otherword2","q4","correctA4","q4otherword1","q4otherword2","q5","correctA5","q5otherword1","q5otherword2","q6","correctA6","q6otherword1","q6otherword2","q7","correctA7","q7otherword1","q7otherword2","q8","correctA8","q8otherword1","q8otherword2","q9","correctA9","q9otherword1","q9otherword2","q10","correctA10","q10otherword1","q10otherword2","q11","correctA11","q11otherword1","q11otherword2","q12","correctA12","q12otherword1","q12otherword2","q13","correctA13","q13otherword1","q13otherword2","q14","correctA14","q14otherword1","q14otherword2","q15","correctA15","q15otherword1","q15otherword2","q16","correctA16","q16otherword1","q16otherword2","q17","correctA17","q17otherword1","q17otherword2","q18","correctA18","q18otherword1","q18otherword2","q19","correctA19","q19otherword1","q19otherword2","q20","correctA20","q20otherword1","q20otherword2","q21","correctA21","q21otherword1","q21otherword2","q22","correctA22","q22otherword1","q22otherword2","q23","correctA23","q23otherword1","q23otherword2","q24","correctA24","q24otherword1","q24otherword2","q25","correctA25","q25otherword1","q25otherword2","q26","correctA26","q26otherword1","q26otherword2","q27","correctA27","q27otherword1","q27otherword2","q28","correctA28","q28otherword1","q28otherword2","q29","correctA29","q29otherword1","q29otherword2","q30","correctA30","q30otherword1","q30otherword2","q31","correctA31","q31otherword1","q31otherword2","q32","correctA32","q32otherword1","q32otherword2","q33","correctA33","q33otherword1","q33otherword2","q34","correctA34","q34otherword1","q34otherword2","q35","correctA35","q35otherword1","q35otherword2","q36","correctA36","q36otherword1","q36otherword2","q37","correctA37","q37otherword1","q37otherword2","q38","correctA38","q38otherword1","q38otherword2","q39","correctA39","q39otherword1","q39otherword2","q40","correctA40","q40otherword1","q40otherword2","q41","correctA41","q41otherword1","q41otherword2","q42","correctA42","q42otherword1","q42otherword2","q43","correctA43","q43otherword1","q43otherword2","q44","correctA44","q44otherword1","q44otherword2","q45","correctA45","q45otherword1","q45otherword2","q46","correctA46","q46otherword1","q46otherword2","q47","correctA47","q47otherword1","q47otherword2","q48","correctA48","q48otherword1","q48otherword2","q49","correctA49","q49otherword1","q49otherword2","q50","correctA50","q50otherword1","q50otherword2","q51","correctA51","q51otherword1","q51otherword2","q52","correctA52","q52otherword1","q52otherword2","q53","correctA53","q53otherword1","q53otherword2","q54","correctA54","q54otherword1","q54otherword2","q55","correctA55","q55otherword1","q55otherword2","q56","correctA56","q56otherword1","q56otherword2","q57","correctA57","q57otherword1","q57otherword2","q58","correctA58","q58otherword1","q58otherword2","q59","correctA59","q59otherword1","q59otherword2","q60","correctA60","q60otherword1","q60otherword2","q61","correctA61","q61otherword1","q61otherword2","q62","correctA62","q62otherword1","q62otherword2","q63","correctA63","q63otherword1","q63otherword2","q64","correctA64","q64otherword1","q64otherword2","q65","correctA65","q65otherword1","q65otherword2","q66","correctA66","q66otherword1","q66otherword2","q67","correctA67","q67otherword1","q67otherword2","q68","correctA68","q68otherword1","q68otherword2","q69","correctA69","q69otherword1","q69otherword2","q70","correctA70","q70otherword1","q70otherword2","q71","correctA71","q71otherword1","q71otherword2","q72","correctA72","q72otherword1","q72otherword2","q73","correctA73","q73otherword1","q73otherword2","q74","correctA74","q74otherword1","q74otherword2","q75","correctA75","q75otherword1","q75otherword2","q76","correctA76","q76otherword1","q76otherword2","q77","correctA77","q77otherword1","q77otherword2","q78","correctA78","q78otherword1","q78otherword2","q79","correctA79","q79otherword1","q79otherword2","q80","correctA80","q80otherword1","q80otherword2","q81","correctA81","q81otherword1","q81otherword2","q82","correctA82","q82otherword1","q82otherword2","q83","correctA83","q83otherword1","q83otherword2","q84","correctA84","q84otherword1","q84otherword2","q85","correctA85","q85otherword1","q85otherword2","q86","correctA86","q86otherword1","q86otherword2","city","country","age","gender","thoughts","q87","correctA87","q87otherword1","q87otherword2","correctA88","correctA89","correctA90","correctA91","correctA92","q88otherword2","q88otherword1","q89otherword1","q89otherword2","q90otherword2","q90otherword1","q91otherword1","q91otherword2","q92otherword2","q92otherword1","q92","q91","q90","q89","q88"
"NDE_r1a_emrat_14","13","2013-12-12","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Annoyed","Annoyed","NULL","NULL","Annoyed","Annoyed","NULL","NULL","Disappointed","Disappointed","NULL","NULL","NULL","NULL","NULL","NULL","Disappointed","Disappointed","NULL","NULL","Disappointed","Disappointed","NULL","NULL","NULL","NULL","NULL","NULL","Disgusted","Disgusted","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Embarrassed","Embarrassed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Guilty","Embarrassed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Disappointed","Sad","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Lonely","Lonely","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Grateful","Grateful","NULL","NULL","NULL","NULL","NULL","NULL","Grateful","Grateful","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Hopeful","Hopeful","NULL","NULL","Hopeful","Hopeful","NULL","NULL","Hopeful","Hopeful","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Nostalgic","Nostalgic","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Proud","Proud","NULL","NULL","Proud","Proud","NULL","NULL","NULL","NULL","NULL","NULL","Neutral","CHECK","NULL","NULL","NULL","NULL","20","male"," ","Neutral","CHECK","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NDE_r1a_emrat_11","12","2013-12-12","NULL","NULL","NULL","NULL","Disgusted","Angry","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Disappointed","Angry","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Disappointed","Disappointed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Apprehensive","Apprehensive","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Embarrassed","Embarrassed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Sad","Sad","angry","NULL","NULL","NULL","NULL","NULL","Angry","Sad","NULL","NULL","Guilty","Guilty","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Apprehensive","Afraid","scared","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Grateful","Content","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Content","Content","NULL","NULL","Content","Content","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Hopeful","Hopeful","NULL","NULL","NULL","NULL","NULL","NULL","Impressed","Impressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Hopeful","Impressed","NULL","NULL","Joyful","Joyful","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Joyful","Joyful","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Proud","Proud","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Neutral","CHECK","NULL","NULL","madison","usa","23","female"," ","Neutral","CHECK","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NDE_r1a_emrat_15","11","2013-12-12","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Angry","Annoyed","NULL","NULL","NULL","NULL","NULL","NULL","Annoyed","Annoyed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Disappointed","Disappointed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Angry","Disgusted","NULL","NULL","Disgusted","Disgusted","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Afraid","Apprehensive","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Embarrassed","Embarrassed","NULL","NULL","Guilty","Embarrassed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Guilty","Guilty","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Afraid","Afraid","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Content","Content","NULL","NULL","Proud","Content","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Impressed","Impressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Impressed","Impressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Joyful","Joyful","NULL","NULL","Joyful","Joyful","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Nostalgic","Nostalgic","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Joyful","Proud","NULL","NULL","NULL","NULL","NULL","NULL","Neutral","CHECK","NULL","NULL","NULL","NULL","25","Male"," ","Neutral","CHECK","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NDE_r1a_emrat_19","10","2013-12-12","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Angry","Angry","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Joyful","Angry","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Content","Annoyed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Hopeful","Disgusted","NULL","NULL","Content","Disgusted","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Disgusted","Disgusted","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Embarrassed","Embarrassed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Proud","Lonely","NULL","NULL","Content","Lonely","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Content","Content","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Grateful","Grateful","NULL","NULL","Proud","Grateful","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Impressed","Hopeful","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Joyful","Joyful","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Hopeful","Nostalgic","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Hopeful","Nostalgic","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Content","Proud","NULL","NULL","Embarrassed","Proud","NULL","NULL","Grateful","CHECK","NULL","NULL","NULL","NULL","28","male"," ","Neutral","CHECK","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NDE_r1a_emrat_08","9","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NDE_r1a_emrat_16","8","2013-12-12","NULL","NULL","NULL","NULL","Sad","Angry","NULL","NULL","Annoyed","Angry","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Disappointed","Angry","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Apprehensive","Apprehensive","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Embarrassed","Embarrassed","NULL","NULL","NULL","NULL","NULL","NULL","Embarrassed","Embarrassed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Embarrassed","Guilty","NULL","NULL","NULL","NULL","NULL","NULL","Guilty","Guilty","NULL","NULL","Guilty","Guilty","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Disappointed","Lonely","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Afraid","Afraid","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Grateful","Content","NULL","NULL","NULL","NULL","NULL","NULL","Guilty","Grateful","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Grateful","Hopeful","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Content","Impressed","NULL","NULL","Impressed","Joyful","Grateful","Joyful","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Joyful","Nostalgic","NULL","NULL","NULL","NULL","NULL","NULL","Joyful","Nostalgic","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Neutral","CHECK","NULL","NULL","renton","usa","32","male"," none","Neutral","CHECK","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NDE_r1a_emrat_18","7","2013-12-12","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Angry","Angry","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Angry","Annoyed","NULL","NULL","NULL","NULL","NULL","NULL","Angry","Annoyed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Disgusted","Disgusted","guilty","NULL","NULL","NULL","NULL","NULL","Apprehensive","Apprehensive","NULL","NULL","Apprehensive","Apprehensive","NULL","NULL","Apprehensive","Apprehensive","nervous","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Embarrassed","Embarrassed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Sad","Sad","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Afraid","Afraid","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Hopeful","Grateful","relieved","NULL","Hopeful","Grateful","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Impressed","Impressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Proud","Joyful","NULL","NULL","Nostalgic","Nostalgic","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Proud","Proud","NULL","NULL","NULL","NULL","NULL","NULL","Joyful","Proud","NULL","NULL","NULL","NULL","NULL","NULL","Proud","Proud","NULL","NULL","Neutral","CHECK","NULL","NULL","Dallas","USA","37","F"," ","Neutral","CHECK","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
